ts_iso,target,rtt_ms
2026-03-18T17:44:20.891270+00:00,1.1.1.1,10.8
2026-03-18T17:44:21.094744+00:00,1.1.1.1,11.0
2026-03-18T17:44:21.296056+00:00,1.1.1.1,11.4
2026-03-18T17:44:21.498134+00:00,1.1.1.1,12.4
2026-03-18T17:44:21.702025+00:00,1.1.1.1,11.9
2026-03-18T17:44:21.902621+00:00,1.1.1.1,12.1
2026-03-18T17:44:22.108214+00:00,1.1.1.1,12.1
2026-03-18T17:44:22.310028+00:00,1.1.1.1,12.4
2026-03-18T17:44:22.510532+00:00,1.1.1.1,12.3
2026-03-18T17:44:22.713109+00:00,1.1.1.1,12.4
2026-03-18T17:44:22.914560+00:00,1.1.1.1,12.0
2026-03-18T17:44:23.117015+00:00,1.1.1.1,11.7
2026-03-18T17:44:23.323354+00:00,1.1.1.1,12.1
2026-03-18T17:44:23.524765+00:00,1.1.1.1,12.3
2026-03-18T17:44:23.728124+00:00,1.1.1.1,12.1
2026-03-18T17:44:23.929440+00:00,1.1.1.1,11.9
2026-03-18T17:44:24.133597+00:00,1.1.1.1,11.9
2026-03-18T17:44:24.339207+00:00,1.1.1.1,12.1
2026-03-18T17:44:24.544774+00:00,1.1.1.1,12.0
2026-03-18T17:44:24.747422+00:00,1.1.1.1,12.5
2026-03-18T17:44:24.948955+00:00,1.1.1.1,11.0
2026-03-18T17:44:25.154043+00:00,1.1.1.1,10.8
2026-03-18T17:44:25.355845+00:00,1.1.1.1,11.0
2026-03-18T17:44:25.557022+00:00,1.1.1.1,11.4
2026-03-18T17:44:25.759515+00:00,1.1.1.1,12.6
2026-03-18T17:44:25.960225+00:00,1.1.1.1,12.1
2026-03-18T17:44:26.161356+00:00,1.1.1.1,12.4
2026-03-18T17:44:26.366153+00:00,1.1.1.1,12.3
2026-03-18T17:44:26.571619+00:00,1.1.1.1,12.4
2026-03-18T17:44:26.776915+00:00,1.1.1.1,12.7
2026-03-18T17:44:26.977215+00:00,1.1.1.1,11.7
2026-03-18T17:44:27.179405+00:00,1.1.1.1,12.2
2026-03-18T17:44:27.384577+00:00,1.1.1.1,11.8
2026-03-18T17:44:27.586229+00:00,1.1.1.1,11.7
2026-03-18T17:44:27.792830+00:00,1.1.1.1,12.0
2026-03-18T17:44:27.993839+00:00,1.1.1.1,12.0
2026-03-18T17:44:28.194159+00:00,1.1.1.1,11.8
2026-03-18T17:44:28.401251+00:00,1.1.1.1,12.4
2026-03-18T17:44:28.605332+00:00,1.1.1.1,12.1
2026-03-18T17:44:28.807502+00:00,1.1.1.1,13.3
2026-03-18T17:44:29.008111+00:00,1.1.1.1,12.2
2026-03-18T17:44:29.209671+00:00,1.1.1.1,12.1
2026-03-18T17:44:29.410174+00:00,1.1.1.1,11.8
2026-03-18T17:44:29.612241+00:00,1.1.1.1,11.9
2026-03-18T17:44:29.812980+00:00,1.1.1.1,11.8
2026-03-18T17:44:30.013188+00:00,1.1.1.1,10.9
2026-03-18T17:44:30.215370+00:00,1.1.1.1,11.5
2026-03-18T17:44:30.418578+00:00,1.1.1.1,12.1
2026-03-18T17:44:30.622229+00:00,1.1.1.1,12.1
2026-03-18T17:44:30.824359+00:00,1.1.1.1,12.2
2026-03-18T17:44:31.027150+00:00,1.1.1.1,12.2
2026-03-18T17:44:31.229375+00:00,1.1.1.1,12.1
2026-03-18T17:44:31.431587+00:00,1.1.1.1,12.2
2026-03-18T17:44:31.636025+00:00,1.1.1.1,11.2
2026-03-18T17:44:31.838247+00:00,1.1.1.1,12.0
2026-03-18T17:44:32.043058+00:00,1.1.1.1,12.5
2026-03-18T17:44:32.248216+00:00,1.1.1.1,11.9
2026-03-18T17:44:32.452111+00:00,1.1.1.1,12.3
2026-03-18T17:44:32.654270+00:00,1.1.1.1,12.1
2026-03-18T17:44:32.859921+00:00,1.1.1.1,12.4
2026-03-18T17:44:33.060542+00:00,1.1.1.1,12.2
2026-03-18T17:44:33.261421+00:00,1.1.1.1,12.2
2026-03-18T17:44:33.462258+00:00,1.1.1.1,11.6
2026-03-18T17:44:33.664009+00:00,1.1.1.1,12.0
2026-03-18T17:44:33.865064+00:00,1.1.1.1,12.3
2026-03-18T17:44:34.065770+00:00,1.1.1.1,12.1
2026-03-18T17:44:34.267407+00:00,1.1.1.1,12.3
2026-03-18T17:44:34.468068+00:00,1.1.1.1,12.2
2026-03-18T17:44:34.670883+00:00,1.1.1.1,12.4
2026-03-18T17:44:34.872487+00:00,1.1.1.1,12.0
2026-03-18T17:44:35.075577+00:00,1.1.1.1,12.7
2026-03-18T17:44:35.279259+00:00,1.1.1.1,12.5
2026-03-18T17:44:35.484246+00:00,1.1.1.1,11.8
2026-03-18T17:44:35.688677+00:00,1.1.1.1,12.4
2026-03-18T17:44:35.892424+00:00,1.1.1.1,11.9
2026-03-18T17:44:36.098077+00:00,1.1.1.1,12.8
2026-03-18T17:44:36.301026+00:00,1.1.1.1,11.9
2026-03-18T17:44:36.502119+00:00,1.1.1.1,12.6
2026-03-18T17:44:36.703151+00:00,1.1.1.1,12.3
2026-03-18T17:44:36.904234+00:00,1.1.1.1,12.1
2026-03-18T17:44:37.105038+00:00,1.1.1.1,12.1
2026-03-18T17:44:37.309301+00:00,1.1.1.1,11.9
2026-03-18T17:44:37.511769+00:00,1.1.1.1,12.3
2026-03-18T17:44:37.713625+00:00,1.1.1.1,12.0
2026-03-18T17:44:37.915349+00:00,1.1.1.1,12.3
2026-03-18T17:44:38.117273+00:00,1.1.1.1,12.4
2026-03-18T17:44:38.319076+00:00,1.1.1.1,12.1
2026-03-18T17:44:38.524396+00:00,1.1.1.1,12.3
2026-03-18T17:44:38.725157+00:00,1.1.1.1,12.1
2026-03-18T17:44:38.926614+00:00,1.1.1.1,11.9
2026-03-18T17:44:39.129304+00:00,1.1.1.1,11.9
2026-03-18T17:44:39.332534+00:00,1.1.1.1,12.1
2026-03-18T17:44:39.534740+00:00,1.1.1.1,12.3
2026-03-18T17:44:39.738328+00:00,1.1.1.1,12.1
2026-03-18T17:44:39.937859+00:00,1.1.1.1,11.2
2026-03-18T17:44:40.147471+00:00,1.1.1.1,15.3
