ts_iso,target,rtt_ms
2026-03-18T17:33:43.972545+00:00,192.168.1.85,38.9
2026-03-18T17:33:44.187752+00:00,192.168.1.85,51.6
2026-03-18T17:33:44.389213+00:00,192.168.1.85,51.7
2026-03-18T17:33:44.588725+00:00,192.168.1.85,49.9
2026-03-18T17:33:44.780866+00:00,192.168.1.85,40.5
2026-03-18T17:33:44.983871+00:00,192.168.1.85,41.7
2026-03-18T17:33:45.195752+00:00,192.168.1.85,51.4
2026-03-18T17:33:45.389615+00:00,192.168.1.85,43.8
2026-03-18T17:33:45.597212+00:00,192.168.1.85,50.3
2026-03-18T17:33:45.792056+00:00,192.168.1.85,41.9
2026-03-18T17:33:45.996723+00:00,192.168.1.85,41.3
2026-03-18T17:33:46.193478+00:00,192.168.1.85,36.1
2026-03-18T17:33:46.395476+00:00,192.168.1.85,36.7
2026-03-18T17:33:46.613750+00:00,192.168.1.85,54.6
2026-03-18T17:33:46.804211+00:00,192.168.1.85,44.1
2026-03-18T17:33:47.015700+00:00,192.168.1.85,54.8
2026-03-18T17:33:47.204141+00:00,192.168.1.85,41.7
2026-03-18T17:33:47.414508+00:00,192.168.1.85,46.4
2026-03-18T17:33:47.608524+00:00,192.168.1.85,39.7
2026-03-18T17:33:47.816284+00:00,192.168.1.85,45.5
2026-03-18T17:33:48.023073+00:00,192.168.1.85,49.5
2026-03-18T17:33:48.219214+00:00,192.168.1.85,44.7
2026-03-18T17:33:48.410637+00:00,192.168.1.85,35.2
2026-03-18T17:33:48.614505+00:00,192.168.1.85,38.2
2026-03-18T17:33:48.813265+00:00,192.168.1.85,36.3
2026-03-18T17:33:49.012347+00:00,192.168.1.85,32.6
2026-03-18T17:33:49.228560+00:00,192.168.1.85,47.9
2026-03-18T17:33:49.431902+00:00,192.168.1.85,49.5
2026-03-18T17:33:49.632834+00:00,192.168.1.85,49.5
2026-03-18T17:33:49.820272+00:00,192.168.1.85,35.8
2026-03-18T17:33:50.037555+00:00,192.168.1.85,51.5
