ts_iso,avg_cwnd_pkts,avg_rtt_ms,num_conns_with_cwnd
2026-03-18T17:35:04.752169+00:00,10.0,0.11,1
2026-03-18T17:35:04.965220+00:00,10.0,0.11,1
2026-03-18T17:35:05.175295+00:00,10.0,0.11,1
2026-03-18T17:35:05.383811+00:00,10.0,0.11,1
2026-03-18T17:35:05.595496+00:00,10.0,0.11,1
2026-03-18T17:35:05.802132+00:00,10.0,0.11,1
2026-03-18T17:35:06.011655+00:00,10.0,0.11,1
2026-03-18T17:35:06.219751+00:00,10.0,0.11,1
2026-03-18T17:35:06.430243+00:00,10.0,0.11,1
2026-03-18T17:35:06.639328+00:00,10.0,0.11,1
2026-03-18T17:35:06.853190+00:00,10.0,0.11,1
2026-03-18T17:35:07.063322+00:00,10.0,0.11,1
2026-03-18T17:35:07.274063+00:00,10.0,0.11,1
2026-03-18T17:35:07.477353+00:00,10.0,0.11,1
2026-03-18T17:35:07.680339+00:00,10.0,0.11,1
2026-03-18T17:35:07.891397+00:00,10.0,8.755,1
2026-03-18T17:35:08.099509+00:00,10.0,8.755,1
2026-03-18T17:35:08.313174+00:00,10.0,8.755,1
2026-03-18T17:35:08.515725+00:00,10.0,0.11,1
2026-03-18T17:35:08.718597+00:00,10.0,0.11,1
2026-03-18T17:35:08.921163+00:00,10.0,0.11,1
2026-03-18T17:35:09.124331+00:00,10.0,0.11,1
2026-03-18T17:35:09.326726+00:00,10.0,0.11,1
2026-03-18T17:35:09.532716+00:00,10.0,0.11,1
2026-03-18T17:35:09.738289+00:00,10.0,0.11,1
2026-03-18T17:35:09.945758+00:00,10.0,0.11,1
2026-03-18T17:35:10.155478+00:00,10.0,0.11,1
2026-03-18T17:35:10.364524+00:00,10.0,0.11,1
2026-03-18T17:35:10.575195+00:00,10.0,0.11,1
2026-03-18T17:35:10.783712+00:00,10.0,0.11,1
2026-03-18T17:35:10.993963+00:00,10.0,0.11,1
2026-03-18T17:35:11.205352+00:00,10.0,0.11,1
2026-03-18T17:35:11.416780+00:00,10.0,0.11,1
2026-03-18T17:35:11.626479+00:00,10.0,0.11,1
2026-03-18T17:35:11.835303+00:00,10.0,0.11,1
2026-03-18T17:35:12.046843+00:00,10.0,0.11,1
2026-03-18T17:35:12.249881+00:00,10.0,0.11,1
2026-03-18T17:35:12.457636+00:00,10.0,0.11,1
2026-03-18T17:35:12.662168+00:00,10.0,0.11,1
2026-03-18T17:35:12.865405+00:00,10.0,0.11,1
2026-03-18T17:35:13.077884+00:00,10.0,0.11,1
2026-03-18T17:35:13.288212+00:00,10.0,0.11,1
2026-03-18T17:35:13.499849+00:00,10.0,0.11,1
2026-03-18T17:35:13.713178+00:00,10.0,0.11,1
2026-03-18T17:35:13.921783+00:00,10.0,0.11,1
2026-03-18T17:35:14.131711+00:00,10.0,0.11,1
2026-03-18T17:35:14.342512+00:00,10.0,0.11,1
2026-03-18T17:35:14.551685+00:00,10.0,0.11,1
2026-03-18T17:35:14.762274+00:00,10.0,0.11,1
2026-03-18T17:35:14.972643+00:00,10.0,0.11,1
2026-03-18T17:35:15.181536+00:00,10.0,0.11,1
2026-03-18T17:35:15.384028+00:00,10.0,0.11,1
2026-03-18T17:35:15.589066+00:00,10.0,0.11,1
2026-03-18T17:35:15.801206+00:00,10.0,0.11,1
2026-03-18T17:35:16.015084+00:00,10.0,0.11,1
2026-03-18T17:35:16.225825+00:00,10.0,0.11,1
2026-03-18T17:35:16.434746+00:00,10.0,0.11,1
2026-03-18T17:35:16.645059+00:00,10.0,0.11,1
2026-03-18T17:35:16.858496+00:00,10.0,0.11,1
2026-03-18T17:35:17.069383+00:00,10.0,0.11,1
2026-03-18T17:35:17.272505+00:00,10.0,0.11,1
2026-03-18T17:35:17.486989+00:00,10.0,0.11,1
2026-03-18T17:35:17.695315+00:00,10.0,0.11,1
2026-03-18T17:35:17.907825+00:00,10.0,0.11,1
2026-03-18T17:35:18.118240+00:00,10.0,0.11,1
2026-03-18T17:35:18.329166+00:00,10.0,0.11,1
2026-03-18T17:35:18.539904+00:00,10.0,0.11,1
2026-03-18T17:35:18.749728+00:00,10.0,0.11,1
2026-03-18T17:35:18.959772+00:00,10.0,0.11,1
2026-03-18T17:35:19.168698+00:00,10.0,0.11,1
2026-03-18T17:35:19.380579+00:00,10.0,0.11,1
2026-03-18T17:35:19.590308+00:00,10.0,0.11,1
2026-03-18T17:35:19.801059+00:00,10.0,0.11,1
2026-03-18T17:35:20.010318+00:00,10.0,0.11,1
2026-03-18T17:35:20.220652+00:00,10.0,0.11,1
2026-03-18T17:35:20.431598+00:00,10.0,0.11,1
2026-03-18T17:35:20.640667+00:00,10.0,0.11,1
2026-03-18T17:35:20.849383+00:00,10.0,0.11,1
2026-03-18T17:35:21.058169+00:00,10.0,0.11,1
2026-03-18T17:35:21.267356+00:00,10.0,0.11,1
2026-03-18T17:35:21.478747+00:00,10.0,0.11,1
2026-03-18T17:35:21.687899+00:00,10.0,0.11,1
2026-03-18T17:35:21.897028+00:00,10.0,0.11,1
2026-03-18T17:35:22.107494+00:00,10.0,0.11,1
2026-03-18T17:35:22.317182+00:00,10.0,0.11,1
2026-03-18T17:35:22.526752+00:00,10.0,0.11,1
2026-03-18T17:35:22.737129+00:00,10.0,0.11,1
2026-03-18T17:35:22.948109+00:00,10.0,0.11,1
2026-03-18T17:35:23.158699+00:00,10.0,0.11,1
2026-03-18T17:35:23.369550+00:00,10.0,0.11,1
2026-03-18T17:35:23.579317+00:00,10.0,0.11,1
2026-03-18T17:35:23.789647+00:00,10.0,0.11,1
2026-03-18T17:35:23.999097+00:00,10.0,0.11,1
2026-03-18T17:35:24.208682+00:00,10.0,0.11,1
2026-03-18T17:35:24.419150+00:00,10.0,0.11,1
2026-03-18T17:35:24.631059+00:00,10.0,0.11,1
2026-03-18T17:35:24.842267+00:00,10.0,0.11,1
2026-03-18T17:35:25.052321+00:00,10.0,0.11,1
2026-03-18T17:35:25.261748+00:00,10.0,0.11,1
2026-03-18T17:35:25.472677+00:00,10.0,0.11,1
2026-03-18T17:35:25.684562+00:00,10.0,0.11,1
2026-03-18T17:35:25.895053+00:00,10.0,0.11,1
2026-03-18T17:35:26.104788+00:00,10.0,0.11,1
